order_id,customer_id,order_date,channel
1,8,2025-12-05,in-store
2,20,2024-08-26,web
3,26,2024-08-07,web
4,31,2025-09-17,phone
5,1,2025-01-26,web
6,17,2025-05-20,web
7,9,2025-10-12,in-store
8,6,2025-10-06,in-store
9,16,2025-06-10,web
10,26,2025-07-24,in-store
11,29,2024-10-14,in-store
12,18,2024-09-18,web
13,27,2025-01-13,in-store
14,5,2024-04-24,web
15,28,2025-02-13,phone
16,3,2025-12-23,in-store
17,16,2025-08-10,web
18,31,2025-12-14,web
19,29,2025-11-21,in-store
20,18,2024-09-19,phone
21,16,2025-03-24,in-store
22,25,2025-06-09,web
23,12,2025-06-27,web
24,6,2025-05-16,web
25,11,2024-10-10,web
26,14,2025-09-23,in-store
27,31,2025-11-26,in-store
28,3,2025-03-27,in-store
29,21,2025-03-07,web
30,8,2025-04-02,in-store
31,21,2025-05-10,web
32,11,2024-08-25,web
33,22,2025-06-17,web
34,2,2025-04-15,in-store
35,12,2025-05-07,in-store
36,1,2024-10-23,web
37,8,2024-11-16,web
38,3,2024-11-30,in-store
39,12,2025-06-27,in-store
40,27,2025-09-23,web
41,2,2025-10-06,in-store
42,8,2025-07-12,web
43,24,2025-08-30,phone
44,7,2025-08-23,web
45,30,2025-01-16,in-store
46,17,2024-09-20,in-store
47,22,2025-08-22,web
48,23,2024-10-07,in-store
49,8,2024-10-05,phone
50,7,2025-11-22,in-store
51,26,2024-10-10,phone
52,14,2025-08-09,phone
53,17,2025-04-27,web
54,30,2025-03-29,in-store
55,25,2025-10-18,in-store
56,11,2025-06-09,in-store
57,31,2025-03-20,web
58,10,2024-05-24,phone
59,3,2025-03-20,in-store
60,9,2025-12-09,in-store
61,7,2025-12-16,in-store
62,5,2024-09-06,in-store
63,29,2024-11-06,in-store
64,31,2025-12-21,web
65,29,2025-08-26,in-store
66,8,2025-01-14,web
67,9,2025-04-04,web
68,27,2024-12-02,web
69,16,2025-04-06,web
70,19,2024-08-17,web
71,9,2025-03-25,in-store
72,14,2025-05-29,in-store
73,27,2024-12-31,web
74,10,2025-06-18,web
75,30,2025-07-25,web
76,1,2024-02-14,in-store
77,32,2025-08-05,web
78,17,2025-05-15,phone
79,9,2025-09-21,web
80,30,2025-04-15,in-store
81,25,2025-01-15,web
82,32,2025-07-14,web
83,11,2024-04-15,web
84,1,2024-03-16,web
85,27,2025-02-05,web
86,19,2024-06-16,in-store
87,4,2025-09-08,in-store
88,15,2024-08-03,in-store
89,32,2024-11-16,in-store
90,15,2025-02-26,in-store
91,27,2024-04-30,in-store
92,5,2024-04-06,web
93,22,2025-08-05,phone
94,5,2025-05-20,in-store
95,4,2024-10-31,web
96,18,2024-11-14,in-store
97,15,2024-07-23,in-store
98,26,2025-08-05,web
99,11,2024-05-01,phone
100,12,2025-08-22,web
101,25,2024-04-23,web
102,2,2025-07-15,in-store
103,12,2025-10-29,web
104,5,2025-12-17,phone
105,25,2025-09-14,phone
106,18,2024-11-03,web
107,21,2025-11-18,web
108,7,2025-11-18,in-store
109,32,2025-02-06,phone
110,10,2024-03-13,web
111,1,2024-11-30,web
112,20,2025-08-09,web
113,10,2024-03-11,in-store
114,25,2025-01-16,web
115,23,2025-09-09,in-store
116,4,2025-11-29,web
117,12,2024-10-11,web
118,6,2024-07-08,web
119,8,2025-06-08,web
120,3,2024-11-07,web
121,18,2024-12-06,in-store
122,9,2025-09-18,web
123,23,2025-09-14,web
124,27,2024-11-19,in-store
125,22,2025-08-26,in-store
126,23,2025-01-08,in-store
127,17,2024-11-21,web
128,25,2025-11-15,phone
129,14,2025-05-07,in-store
130,27,2024-12-29,web
131,9,2024-12-08,web
132,29,2025-04-21,in-store
133,11,2025-01-30,web
134,27,2024-12-16,web
135,17,2024-11-17,in-store
136,23,2025-05-13,in-store
137,29,2025-02-24,web
138,17,2025-09-27,web
139,2,2024-03-19,in-store
140,5,2025-09-28,web
141,22,2025-12-17,phone
142,23,2025-01-10,web
143,31,2025-12-17,web
144,7,2025-07-29,phone
145,19,2024-05-03,in-store
146,11,2025-09-30,web
147,8,2025-10-29,web
148,31,2025-06-28,phone
149,11,2025-07-18,web
150,29,2025-01-16,web
151,3,2025-10-25,web
152,20,2025-05-27,web
153,19,2025-11-18,in-store
154,9,2025-01-10,web
155,31,2025-06-14,web
156,19,2025-04-07,web
157,19,2024-11-10,in-store
158,29,2025-05-26,in-store
159,4,2025-01-08,in-store
160,14,2025-09-22,web
161,6,2024-10-30,web
162,8,2025-10-06,web
163,30,2025-02-01,web
164,30,2025-04-13,phone
165,8,2025-02-28,web
166,13,2025-11-18,web
167,21,2025-09-27,web
168,17,2025-12-01,in-store
169,9,2025-11-11,web
170,28,2025-11-24,web
171,19,2024-12-19,in-store
172,12,2025-06-01,in-store
173,23,2025-03-17,web
174,12,2024-10-04,web
175,32,2025-12-05,web
176,15,2025-02-23,web
177,8,2025-02-10,in-store
178,20,2025-11-13,web
179,18,2025-06-12,phone
180,25,2025-03-31,phone
