title,author,genre,total_copies_sold,total_revenue
Nightjar,Ines Kovac,Poetry,1,11.5
Root and Branch,Eleanor Fitzgibbon,Nature Writing,1,21.0
The Silent Quarter,Tomas Brandt,Mystery,1,13.5
The Kepler Drift,Marcus Oyelaran,Science Fiction,2,34.5
Tidelines,Eleanor Fitzgibbon,Nature Writing,2,43.18
The Glass Orchard,Sofia Marchetti,Mystery,2,29.98
Numbers at Night,Rashid Al-Amin,Popular Science,2,28.78
A Grammar of Weather,Ines Kovac,Poetry,3,36.0
Quiet Machines,Marcus Oyelaran,Science Fiction,4,75.96
Cities Made of Debt,Henrik Solberg,History,4,101.75
