order_item_id,order_id,book_id,quantity,unit_price
1,1,33,1,16.25
2,2,35,1,19.99
3,3,21,1,18.50
4,3,4,2,13.49
5,4,16,1,29.99
6,5,10,1,14.50
7,5,12,1,28.00
8,6,21,3,18.50
9,6,4,1,14.99
10,7,21,1,14.80
11,7,4,2,14.99
12,7,29,1,10.50
13,8,26,2,38.50
14,9,27,1,9.99
15,9,4,1,14.99
16,9,23,1,22.50
17,10,19,2,16.50
18,10,18,1,15.99
19,10,31,1,20.50
20,11,30,1,17.10
21,12,21,3,14.80
22,12,35,1,19.99
23,13,19,1,13.20
24,13,20,1,14.40
25,13,24,1,19.19
26,13,33,1,13.00
27,14,4,1,14.99
28,14,29,3,10.50
29,14,39,1,26.50
30,15,20,1,12.80
31,16,9,2,13.99
32,17,6,1,19.99
33,18,31,3,20.50
34,18,19,1,16.50
35,18,19,1,14.85
36,19,26,1,38.50
37,20,18,3,14.39
38,20,3,1,18.00
39,21,2,2,15.50
40,22,31,2,20.50
41,23,21,1,16.65
42,24,16,1,29.99
43,24,37,2,21.50
44,25,26,1,38.50
45,25,30,1,19.00
46,26,13,1,26.00
47,27,21,1,14.80
48,28,10,1,14.50
49,28,31,2,18.45
50,28,19,1,14.85
51,29,21,2,18.50
52,30,38,2,20.70
53,31,39,1,23.85
54,32,15,2,26.00
55,32,38,1,23.00
56,33,32,2,14.99
57,34,40,1,13.50
58,34,19,1,16.50
59,34,18,1,12.79
60,35,2,1,12.40
61,35,28,1,9.99
62,36,38,2,23.00
63,36,29,1,10.50
64,37,3,2,18.00
65,37,13,1,32.50
66,38,23,1,18.00
67,38,19,1,16.50
68,39,29,1,10.50
69,40,38,2,23.00
70,40,4,1,13.49
71,41,33,2,16.25
72,41,3,1,14.40
73,42,38,1,23.00
74,43,31,2,18.45
75,44,35,1,19.99
76,44,21,1,16.65
77,45,35,1,15.99
78,45,20,2,16.00
79,46,33,1,16.25
80,47,29,2,10.50
81,47,18,1,15.99
82,47,21,1,14.80
83,48,20,2,16.00
84,48,4,1,13.49
85,49,18,1,12.79
86,50,24,1,23.99
87,50,6,1,15.99
88,50,4,2,14.99
89,51,18,2,12.79
90,51,10,1,14.50
91,52,4,1,14.99
92,52,19,2,13.20
93,52,1,1,16.99
94,52,21,1,18.50
95,53,29,1,8.40
96,53,21,1,14.80
97,54,37,1,19.35
98,55,27,3,9.99
99,56,17,1,22.00
100,56,38,1,18.40
101,56,30,1,19.00
102,57,12,1,25.20
103,57,1,1,13.59
104,58,12,3,28.00
105,59,35,2,17.99
106,60,35,2,17.99
107,61,12,2,28.00
108,62,20,1,12.80
109,62,31,1,20.50
110,62,38,2,18.40
111,62,16,2,29.99
112,63,39,2,26.50
113,64,12,1,28.00
114,64,9,1,13.99
115,64,34,3,22.50
116,64,39,2,23.85
117,65,20,2,12.80
118,66,35,2,19.99
119,66,30,1,19.00
120,67,33,1,16.25
121,67,13,1,29.25
122,68,27,1,9.99
123,69,20,1,16.00
124,70,31,3,18.45
125,70,15,1,23.40
126,71,35,2,15.99
127,71,4,1,14.99
128,72,25,2,27.20
129,73,3,1,16.20
130,74,13,1,32.50
131,75,39,2,26.50
132,75,20,1,16.00
